Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF/10V","C_0201_0603Metric",178.360000,-96.670000,270.000000,top
"C2","1uF/10V","C_0201_0603Metric",182.300000,-96.500000,0.000000,top
"J1","Conn_01x06_Female","JST_NSH_SM06B_1mm_Horizonal",180.000000,-94.000000,180.000000,top
"J2","Conn_01x06_Female","JST_NSH_SM06B_1mm_Horizonal",180.000000,-100.000000,0.000000,top
"R1","6.8k","R_0402_1005Metric",182.415000,-97.800000,0.000000,top
"U1","BH1620FVC","wsof5",180.500000,-97.000000,90.000000,top
