"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"J1";"FFC-FPC_5051100892";1;"5051100892_FFC-FPC_in";;;
2;"J2";"FFC-FPC_5051100892";1;"5051100892_FFC-FPC_out";;;
3;"U1";"wsof5";1;"BH1620FVC";;;
4;"R1";"R_0402_1005Metric";1;"6.8k";;;
5;"C2";"C_0201_0603Metric";1;"1uF/10V";;;
6;"C1";"C_0201_0603Metric";1;"0.1uF/10V";;;
