"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"J2,J1";"JST_NSH_SM06B_1mm_Horizonal";2;"Conn_01x06_Female";;;
2;"C1";"C_0201_0603Metric";1;"0.1uF/10V";;;
3;"C2";"C_0201_0603Metric";1;"1uF/10V";;;
4;"R1";"R_0402_1005Metric";1;"6.8k";;;
5;"U1";"wsof5";1;"BH1620FVC";;;
6;"SW1,SW2";"SHORT_SPDT";2;"SW_SPDT";;;
